SCENE_ID,PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,DATE_ACQUIRED,COLLECTION_NUMBER,COLLECTION_CATEGORY,SENSING_TIME,DATA_TYPE,WRS_PATH,WRS_ROW,CLOUD_COVER,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,TOTAL_SIZE,BASE_URL
LE70140542018174EDC00,LE07_L1TP_014054_20180623_20180623_01_RT,LANDSAT_7,ETM,2018-06-23,01,RT,2018-06-23T15:48:10.8600249Z,L1TP,14,54,85.0,9.63374,7.72505,-83.92625,-81.71188,177403790,gs://gcp-public-data-landsat/LE07/01/014/054/LE07_L1TP_014054_20180623_20180623_01_RT
LM50160521985137AAA03,LM05_L1GS_016052_19850517_20180406_01_T2,LANDSAT_5,MSS,1985-05-17,01,T2,1985-05-17T15:30:18.6960000Z,L1GS,16,52,16.0,12.48889,10.64969,-86.2892,-84.17143,27649584,gs://gcp-public-data-landsat/LM05/01/016/052/LM05_L1GS_016052_19850517_20180406_01_T2
LT50160531985073XXX04,LT05_L1TP_016053_19850314_20170219_01_T1,LANDSAT_5,TM,1985-03-14,01,T1,1985-03-14T15:31:01.1990690Z,L1TP,16,53,9.0,11.05061,9.17561,-86.6359,-84.51695,105727652,gs://gcp-public-data-landsat/LT05/01/016/053/LT05_L1TP_016053_19850314_20170219_01_T1
LE70150542011018EDC00,,LANDSAT_7,ETM,2011-01-18,PRE,N/A,2011-01-18T15:48:07.8630301Z,L1T,15,54,19.0,9.62555,7.74053,-85.45118,-83.27223,185146085,gs://gcp-public-data-landsat/LE07/PRE/015/054/LE70150542011018EDC00
LE70150532014314EDC00,,LANDSAT_7,ETM,2014-11-10,PRE,N/A,2014-11-10T15:52:40.1307972Z,L1T,15,53,59.0,11.06952,9.18055,-85.15057,-82.94826,199409668,gs://gcp-public-data-landsat/LE07/PRE/015/053/LE70150532014314EDC00
LC80160522014201LGN01,LC08_L1TP_016052_20140720_20170304_01_T1,LANDSAT_8,OLI_TIRS,2014-07-20,01,T1,2014-07-20T16:00:04.4102760Z,L1TP,16,52,48.33,12.61534,10.50966,-86.30268,-84.21033,1063289113,gs://gcp-public-data-landsat/LC08/01/016/052/LC08_L1TP_016052_20140720_20170304_01_T1
LC80150532019160LGN00,LC08_L1TP_015053_20190609_20190609_01_RT,LANDSAT_8,OLI_TIRS,2019-06-09,01,RT,2019-06-09T15:54:12.3840780Z,L1TP,15,53,44.69,11.17219,9.06481,-85.09114,-83.00714,1053009856,gs://gcp-public-data-landsat/LC08/01/015/053/LC08_L1TP_015053_20190609_20190609_01_RT
LE70160532018220EDC00,LE07_L1TP_016053_20180808_20180903_01_T1,LANDSAT_7,ETM,2018-08-08,01,T1,2018-08-08T15:59:17.3861986Z,L1TP,16,53,91.0,11.07239,9.18358,-86.70143,-84.49207,169350473,gs://gcp-public-data-landsat/LE07/01/016/053/LE07_L1TP_016053_20180808_20180903_01_T1
LE70150532005113EDC00,,LANDSAT_7,ETM,2005-04-23,PRE,N/A,2005-04-23T15:43:57.6753307Z,L1T,15,53,49.0,11.07743,9.16996,-85.11514,-82.97007,227527218,gs://gcp-public-data-landsat/LE07/PRE/015/053/LE70150532005113EDC00
LE70160532018092EDC00,LE07_L1TP_016053_20180402_20180402_01_RT,LANDSAT_7,ETM,2018-04-02,01,RT,2018-04-02T16:01:32.4784678Z,L1TP,16,53,4.0,11.07239,9.17816,-86.70143,-84.49207,206383487,gs://gcp-public-data-landsat/LE07/01/016/053/LE07_L1TP_016053_20180402_20180402_01_RT
